Date,OPEN,VOLUME,TodaysOpenGreaterThanNextWeekAverage(Classifier),AverageChangeLast-5,AverageChangeLast-10,AverageChangeLast-30
11/22/2016,86.69,9390016.00,1.00,0.14,1.18,-2.18
11/21/2016,86.44,8861469.00,1.00,0.37,1.32,-1.58
11/18/2016,85.21,8457804.00,1.00,-0.78,2.01,-0.94
11/17/2016,86.44,8198219.00,1.00,0.20,1.80,-1.18
11/16/2016,86.74,8147125.00,0.00,2.16,1.95,-0.72
11/15/2016,85.77,12883542.00,1.00,1.18,1.43,-1.29
11/14/2016,85.30,12607502.00,1.00,1.46,0.86,-0.79
11/11/2016,86.53,13812176.00,0.00,1.90,-0.63,-0.63
11/10/2016,85.91,14106127.00,0.00,1.17,-2.64,-0.78
11/9/2016,84.05,15901269.00,1.00,0.99,-1.53,2.75
11/8/2016,84.73,9734653.00,1.00,0.46,-1.81,3.55
11/7/2016,84.49,13576246.00,1.00,-0.35,-1.73,2.54
11/4/2016,83.63,13877034.00,1.00,-1.51,-1.11,3.38
11/3/2016,83.68,8836446.00,1.00,-2.86,-1.12,1.77
11/2/2016,83.30,11225897.00,1.00,-1.10,-1.15,3.23
11/1/2016,83.50,13050407.00,1.00,-0.90,-0.82,2.28
10/31/2016,83.88,16657683.00,1.00,-0.26,0.19,1.45
10/28/2016,85.28,19070824.00,0.00,0.43,-0.34,1.49
10/27/2016,87.28,9071099.00,0.00,0.12,0.46,1.27
10/26/2016,86.25,8484079.00,0.00,-0.26,-0.40,0.82
10/25/2016,86.67,6835836.00,0.00,-0.23,-1.16,-0.65
10/24/2016,86.74,8354774.00,0.00,0.38,-0.47,-0.96
10/21/2016,86.42,10723886.00,0.00,-0.34,0.13,-2.83
10/20/2016,86.79,6865853.00,0.00,0.37,-0.18,-2.66
10/19/2016,87.19,9373416.00,0.00,-0.51,0.22,-2.73
10/18/2016,87.17,5429319.00,0.00,-1.18,-0.38,-1.86
10/17/2016,86.48,7263061.00,1.00,-0.26,0.11,-1.41
10/14/2016,87.19,7991654.00,0.00,0.37,0.28,-0.70
10/13/2016,86.35,9890258.00,1.00,0.17,0.14,-1.10
10/12/2016,87.22,8172509.00,0.00,0.56,3.63,-1.81
10/11/2016,88.08,9309029.00,0.00,-0.29,4.05,-0.98
10/10/2016,87.54,10060038.00,0.00,-0.12,2.58,-1.61
