@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
8/24/2010,58.96,25679100,-0.76,-1.751,0.673,12877,0
8/25/2010,58.69,20944000,-1.316,-0.75,1.037,12877,0
8/26/2010,59.36,22320900,-0.824,-0.048,0.885333,12877,0
8/27/2010,58.72,28279500,-0.076,-0.483,1.379,12424,1
8/30/2010,59.56,16265100,0.156,-0.134,1.950333,12424,1
8/31/2010,58.75,26985400,0.066,-1.112,2.619333,12424,0
9/1/2010,60.04,26286200,0.37,-1.463,1.174667,12424,1
9/2/2010,60.49,18662600,0.1,-0.647,1.686,12424,1
9/3/2010,61.2,21982900,1.256,0.44,1.192,11683,1
9/7/2010,60.89,19435700,0.72,0.733,0.805333,11683,0
9/8/2010,60.66,17380600,1.84,0.848,-0.109333,11683,0
9/9/2010,61.5,16525200,0.878,1.299,-0.221333,11683,1
9/10/2010,61.38,14488400,0.456,0.843,-0.906667,11268,0
9/13/2010,61.39,23141800,-0.226,1.755,0.392,11268,0
9/14/2010,60.84,17977500,0.02,1.035,-0.054,11268,0
9/15/2010,60.76,18769900,0.342,2.046,-1.425,11268,1
9/16/2010,60.85,16432500,-0.448,0.945,-2.362333,11268,1
9/17/2010,61.19,26447200,-0.344,0.501,-1.840667,11817,0
9/20/2010,61.04,21788100,-0.438,-0.237,-1.545,11817,1
9/21/2010,61.65,20525200,0.222,0.096,-2.199,11817,1
9/22/2010,61.56,18207700,0.408,0.425,-1.519333,11817,0
9/23/2010,60.99,18097800,0.408,-0.345,-0.235333,11817,0
9/24/2010,61.51,25145300,0.104,-0.215,0.64,11594,1
9/27/2010,61.99,16642800,0.448,-0.17,0.430667,11594,1
9/28/2010,61.63,18806700,-0.13,0.451,0.850667,11594,1
9/29/2010,61.77,21158000,0.064,0.636,0.033333,11594,0
9/30/2010,61.95,25460200,0.662,0.605,-0.121,11594,1
10/1/2010,62.32,24160200,0.27,0.347,0.673667,11261,1
10/4/2010,62.52,16902500,-0.052,0.673,1.692,11261,0
10/5/2010,62.59,25185400,0.404,0.127,1.852,11261,1
10/6/2010,63.18,21645200,0.504,0.389,1.987333,11261,1
10/7/2010,63.96,19468400,0.794,1.208,2.424,11261,1
